"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Mean Sale Price","2010 August","All Dwelling Statuses","W91: Naas","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","278602"
"Mean Sale Price","2010 August","All Dwelling Statuses","X35: Dungarvan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","190500"
"Mean Sale Price","2010 August","All Dwelling Statuses","X42: Kilmacthomas","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","235000"
"Mean Sale Price","2010 August","All Dwelling Statuses","X91: Waterford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","152941"
"Mean Sale Price","2010 August","All Dwelling Statuses","Y14: Arklow","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","185807"
"Mean Sale Price","2010 August","All Dwelling Statuses","Y21: Enniscorthy","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","154475"
"Mean Sale Price","2010 August","All Dwelling Statuses","Y25: Gorey","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","195006"
"Mean Sale Price","2010 August","All Dwelling Statuses","Y34: New Ross","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","220000"
"Mean Sale Price","2010 August","All Dwelling Statuses","Y35: Wexford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","199917"
"Mean Sale Price","2010 September","All Dwelling Statuses","A41: Ballyboughal","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","A42: Garristown","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","A45: Oldtown","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","148000"
"Mean Sale Price","2010 September","All Dwelling Statuses","A63: Greystones","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","309753"
"Mean Sale Price","2010 September","All Dwelling Statuses","A67: Wicklow","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","273333"
"Mean Sale Price","2010 September","All Dwelling Statuses","A75: Castleblaney","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","164575"
"Mean Sale Price","2010 September","All Dwelling Statuses","A81: Carrickmacross","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","A82: Kells","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","135200"
"Mean Sale Price","2010 September","All Dwelling Statuses","A83: Enfield","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","225125"
"Mean Sale Price","2010 September","All Dwelling Statuses","A84: Ashbourne","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","240929"
"Mean Sale Price","2010 September","All Dwelling Statuses","A85: Dunshaughlin","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","264756"
"Mean Sale Price","2010 September","All Dwelling Statuses","A86: Dunboyne","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","289112"
"Mean Sale Price","2010 September","All Dwelling Statuses","A91: Dundalk","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","172672"
"Mean Sale Price","2010 September","All Dwelling Statuses","A92: Drogheda","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","197450"
"Mean Sale Price","2010 September","All Dwelling Statuses","A94: Blackrock","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","398167"
"Mean Sale Price","2010 September","All Dwelling Statuses","A96: Glenageary","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","295578"
"Mean Sale Price","2010 September","All Dwelling Statuses","A98: Bray","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","236409"
"Mean Sale Price","2010 September","All Dwelling Statuses","C15: Navan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","222410"
"Mean Sale Price","2010 September","All Dwelling Statuses","D01: Dublin 1","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","178819"
"Mean Sale Price","2010 September","All Dwelling Statuses","D02: Dublin 2","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","255872"
"Mean Sale Price","2010 September","All Dwelling Statuses","D03: Dublin 3","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","244071"
"Mean Sale Price","2010 September","All Dwelling Statuses","D04: Dublin 4","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","438889"
"Mean Sale Price","2010 September","All Dwelling Statuses","D05: Dublin 5","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","269554"
"Mean Sale Price","2010 September","All Dwelling Statuses","D06: Dublin 6","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","250000"
"Mean Sale Price","2010 September","All Dwelling Statuses","D07: Dublin 7","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","250150"
"Mean Sale Price","2010 September","All Dwelling Statuses","D08: Dublin 8","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","239167"
"Mean Sale Price","2010 September","All Dwelling Statuses","D09: Dublin 9","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","254011"
"Mean Sale Price","2010 September","All Dwelling Statuses","D10: Dublin 10","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","144750"
"Mean Sale Price","2010 September","All Dwelling Statuses","D11: Dublin 11","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","266533"
"Mean Sale Price","2010 September","All Dwelling Statuses","D12: Dublin 12","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","247059"
"Mean Sale Price","2010 September","All Dwelling Statuses","D13: Dublin 13","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","373153"
"Mean Sale Price","2010 September","All Dwelling Statuses","D14: Dublin 14","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","342452"
"Mean Sale Price","2010 September","All Dwelling Statuses","D15: Dublin 15","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","242768"
"Mean Sale Price","2010 September","All Dwelling Statuses","D16: Dublin 16","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","382563"
"Mean Sale Price","2010 September","All Dwelling Statuses","D17: Dublin 17","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","293000"
"Mean Sale Price","2010 September","All Dwelling Statuses","D18: Dublin 18","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","285366"
"Mean Sale Price","2010 September","All Dwelling Statuses","D20: Dublin 20","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","230600"
"Mean Sale Price","2010 September","All Dwelling Statuses","D22: Dublin 22","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","212506"
"Mean Sale Price","2010 September","All Dwelling Statuses","D24: Dublin 24","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","231876"
"Mean Sale Price","2010 September","All Dwelling Statuses","D6W: Dublin 6W","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","289514"
"Mean Sale Price","2010 September","All Dwelling Statuses","E21: Cahir","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","157500"
"Mean Sale Price","2010 September","All Dwelling Statuses","E25: Cashel","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","115000"
"Mean Sale Price","2010 September","All Dwelling Statuses","E32: Carrick-on-Suir","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","291695"
"Mean Sale Price","2010 September","All Dwelling Statuses","E34: Tipperary","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","142000"
"Mean Sale Price","2010 September","All Dwelling Statuses","E41: Thurles","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","166902"
"Mean Sale Price","2010 September","All Dwelling Statuses","E45: Nenagh","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","167277"
"Mean Sale Price","2010 September","All Dwelling Statuses","E53: Roscrea","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","E91: Clonmel","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","232000"
"Mean Sale Price","2010 September","All Dwelling Statuses","F12: Claremorris","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","135718"
"Mean Sale Price","2010 September","All Dwelling Statuses","F23: Castlebar","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","170833"
"Mean Sale Price","2010 September","All Dwelling Statuses","F26: Ballina","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","141463"
"Mean Sale Price","2010 September","All Dwelling Statuses","F28: Westport","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","45000"
"Mean Sale Price","2010 September","All Dwelling Statuses","F31: Ballinrobe","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","179330"
"Mean Sale Price","2010 September","All Dwelling Statuses","F35: Ballyhaunis","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","F42: Roscommon","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","190508"
"Mean Sale Price","2010 September","All Dwelling Statuses","F45: Castlerea","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","F52: Boyle","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","136875"
"Mean Sale Price","2010 September","All Dwelling Statuses","F56: Ballymote","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","F91: Sligo","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","173510"
"Mean Sale Price","2010 September","All Dwelling Statuses","F92: Letterkenny","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","124250"
"Mean Sale Price","2010 September","All Dwelling Statuses","F93: Lifford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","172275"
"Mean Sale Price","2010 September","All Dwelling Statuses","F94: Donegal","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","H12: Cavan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","125459"
"Mean Sale Price","2010 September","All Dwelling Statuses","H14: Belturbet","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","H16: Cootehill","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","H18: Monaghan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","143732"
"Mean Sale Price","2010 September","All Dwelling Statuses","H23: Clones","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","H53: Ballinasloe","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","133898"
"Mean Sale Price","2010 September","All Dwelling Statuses","H54: Tuam","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","158000"
"Mean Sale Price","2010 September","All Dwelling Statuses","H62: Loughrea","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","152583"
"Mean Sale Price","2010 September","All Dwelling Statuses","H65: Athenry","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","208271"
"Mean Sale Price","2010 September","All Dwelling Statuses","H71: Clifden","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","177500"
"Mean Sale Price","2010 September","All Dwelling Statuses","H91: Galway","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","229853"
"Mean Sale Price","2010 September","All Dwelling Statuses","K32: Balbriggan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","195212"
"Mean Sale Price","2010 September","All Dwelling Statuses","K34: Skerries","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","365000"
"Mean Sale Price","2010 September","All Dwelling Statuses","K36: Malahide","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","311835"
"Mean Sale Price","2010 September","All Dwelling Statuses","K45: Lusk","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","250848"
"Mean Sale Price","2010 September","All Dwelling Statuses","K56: Rush","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","175000"
"Mean Sale Price","2010 September","All Dwelling Statuses","K67: Swords","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","258827"
"Mean Sale Price","2010 September","All Dwelling Statuses","K78: Lucan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","244102"
"Mean Sale Price","2010 September","All Dwelling Statuses","N37: Athlone","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","196687"
"Mean Sale Price","2010 September","All Dwelling Statuses","N39: Longford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","183031"
"Mean Sale Price","2010 September","All Dwelling Statuses","N41: Carrick-on-Shannon","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","106369"
"Mean Sale Price","2010 September","All Dwelling Statuses","N91: Mullingar","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","159591"
"Mean Sale Price","2010 September","All Dwelling Statuses","P12: Macroom","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","173750"
"Mean Sale Price","2010 September","All Dwelling Statuses","P14: Crookstown","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","P17: Kinsale","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","235156"
"Mean Sale Price","2010 September","All Dwelling Statuses","P24: Cobh","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","162500"
"Mean Sale Price","2010 September","All Dwelling Statuses","P25: Midleton","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","196667"
"Mean Sale Price","2010 September","All Dwelling Statuses","P31: Ballincollig","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","221855"
"Mean Sale Price","2010 September","All Dwelling Statuses","P32: Rylane","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","P36: Youghal","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","135500"
"Mean Sale Price","2010 September","All Dwelling Statuses","P43: Carrigaline","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","195357"
"Mean Sale Price","2010 September","All Dwelling Statuses","P47: Dunmanway","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","255700"
"Mean Sale Price","2010 September","All Dwelling Statuses","P51: Mallow","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","195308"
"Mean Sale Price","2010 September","All Dwelling Statuses","P56: Charleville","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","210283"
"Mean Sale Price","2010 September","All Dwelling Statuses","P61: Fermoy","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","117625"
"Mean Sale Price","2010 September","All Dwelling Statuses","P67: Mitchelstown","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","182658"
"Mean Sale Price","2010 September","All Dwelling Statuses","P72: Bandon","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","180000"
"Mean Sale Price","2010 September","All Dwelling Statuses","P75: Bantry","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","186162"
"Mean Sale Price","2010 September","All Dwelling Statuses","P81: Skibbereen","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","P85: Clonakilty","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","R14: Athy","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","156820"
"Mean Sale Price","2010 September","All Dwelling Statuses","R21: Mhuine Bheag","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","275000"
"Mean Sale Price","2010 September","All Dwelling Statuses","R32: Portlaoise","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","133548"
"Mean Sale Price","2010 September","All Dwelling Statuses","R35: Tullamore","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","238445"
"Mean Sale Price","2010 September","All Dwelling Statuses","R42: Birr","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","137597"
"Mean Sale Price","2010 September","All Dwelling Statuses","R45: Edenderry","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","R51: Kildare","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","193675"
"Mean Sale Price","2010 September","All Dwelling Statuses","R56: Curragh","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","140000"
"Mean Sale Price","2010 September","All Dwelling Statuses","R93: Carlow","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","161071"
"Mean Sale Price","2010 September","All Dwelling Statuses","R95: Kilkenny","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","176296"
"Mean Sale Price","2010 September","All Dwelling Statuses","T12: Cork Southside","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","237370"
"Mean Sale Price","2010 September","All Dwelling Statuses","T23: Cork Northside","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","196705"
"Mean Sale Price","2010 September","All Dwelling Statuses","T34: Carrignavar","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","283750"
"Mean Sale Price","2010 September","All Dwelling Statuses","T45: Glanmire","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","243428"
"Mean Sale Price","2010 September","All Dwelling Statuses","T56: Watergrasshill","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","185232"
"Mean Sale Price","2010 September","All Dwelling Statuses","V14: Shannon","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","V15: Kilrush","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","V23: Caherciveen","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","V31: Listowel","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","189412"
"Mean Sale Price","2010 September","All Dwelling Statuses","V35: Kilmallock","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","133438"
"Mean Sale Price","2010 September","All Dwelling Statuses","V42: Newcastle West","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","151813"
"Mean Sale Price","2010 September","All Dwelling Statuses","V92: Tralee","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","139510"
"Mean Sale Price","2010 September","All Dwelling Statuses","V93: Killarney","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","206211"
"Mean Sale Price","2010 September","All Dwelling Statuses","V94: Limerick","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","190275"
"Mean Sale Price","2010 September","All Dwelling Statuses","V95: Ennis","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","198220"
"Mean Sale Price","2010 September","All Dwelling Statuses","W12: Newbridge","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","243964"
"Mean Sale Price","2010 September","All Dwelling Statuses","W23: Celbridge","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","265667"
"Mean Sale Price","2010 September","All Dwelling Statuses","W34: Monasterevin","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","198819"
"Mean Sale Price","2010 September","All Dwelling Statuses","W91: Naas","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","269423"
"Mean Sale Price","2010 September","All Dwelling Statuses","X35: Dungarvan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","X42: Kilmacthomas","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","X91: Waterford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","207587"
"Mean Sale Price","2010 September","All Dwelling Statuses","Y14: Arklow","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","174292"
"Mean Sale Price","2010 September","All Dwelling Statuses","Y21: Enniscorthy","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","137752"
"Mean Sale Price","2010 September","All Dwelling Statuses","Y25: Gorey","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","165992"
"Mean Sale Price","2010 September","All Dwelling Statuses","Y34: New Ross","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 September","All Dwelling Statuses","Y35: Wexford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","134511"
"Mean Sale Price","2010 October","All Dwelling Statuses","A41: Ballyboughal","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","237000"
"Mean Sale Price","2010 October","All Dwelling Statuses","A42: Garristown","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 October","All Dwelling Statuses","A45: Oldtown","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 October","All Dwelling Statuses","A63: Greystones","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","286843"
"Mean Sale Price","2010 October","All Dwelling Statuses","A67: Wicklow","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","210000"
"Mean Sale Price","2010 October","All Dwelling Statuses","A75: Castleblaney","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","242500"
"Mean Sale Price","2010 October","All Dwelling Statuses","A81: Carrickmacross","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 October","All Dwelling Statuses","A82: Kells","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","192149"
"Mean Sale Price","2010 October","All Dwelling Statuses","A83: Enfield","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","237305"
"Mean Sale Price","2010 October","All Dwelling Statuses","A84: Ashbourne","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","267125"
"Mean Sale Price","2010 October","All Dwelling Statuses","A85: Dunshaughlin","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","296500"
"Mean Sale Price","2010 October","All Dwelling Statuses","A86: Dunboyne","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","190938"
"Mean Sale Price","2010 October","All Dwelling Statuses","A91: Dundalk","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","162640"
"Mean Sale Price","2010 October","All Dwelling Statuses","A92: Drogheda","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","166821"
"Mean Sale Price","2010 October","All Dwelling Statuses","A94: Blackrock","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","519063"
"Mean Sale Price","2010 October","All Dwelling Statuses","A96: Glenageary","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","363594"
"Mean Sale Price","2010 October","All Dwelling Statuses","A98: Bray","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","277173"
"Mean Sale Price","2010 October","All Dwelling Statuses","C15: Navan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","154849"
"Mean Sale Price","2010 October","All Dwelling Statuses","D01: Dublin 1","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","218088"
"Mean Sale Price","2010 October","All Dwelling Statuses","D02: Dublin 2","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","337300"
"Mean Sale Price","2010 October","All Dwelling Statuses","D03: Dublin 3","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","227068"
"Mean Sale Price","2010 October","All Dwelling Statuses","D04: Dublin 4","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","330916"
"Mean Sale Price","2010 October","All Dwelling Statuses","D05: Dublin 5","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","250050"
"Mean Sale Price","2010 October","All Dwelling Statuses","D06: Dublin 6","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","527000"
"Mean Sale Price","2010 October","All Dwelling Statuses","D07: Dublin 7","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","262071"
"Mean Sale Price","2010 October","All Dwelling Statuses","D08: Dublin 8","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","202083"
"Mean Sale Price","2010 October","All Dwelling Statuses","D09: Dublin 9","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","265575"
"Mean Sale Price","2010 October","All Dwelling Statuses","D10: Dublin 10","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","181500"
"Mean Sale Price","2010 October","All Dwelling Statuses","D11: Dublin 11","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","176500"
"Mean Sale Price","2010 October","All Dwelling Statuses","D12: Dublin 12","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","262773"
"Mean Sale Price","2010 October","All Dwelling Statuses","D13: Dublin 13","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","270366"
"Mean Sale Price","2010 October","All Dwelling Statuses","D14: Dublin 14","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","338100"
"Mean Sale Price","2010 October","All Dwelling Statuses","D15: Dublin 15","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","241820"
"Mean Sale Price","2010 October","All Dwelling Statuses","D16: Dublin 16","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","340417"
"Mean Sale Price","2010 October","All Dwelling Statuses","D17: Dublin 17","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","175310"
"Mean Sale Price","2010 October","All Dwelling Statuses","D18: Dublin 18","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","322461"
"Mean Sale Price","2010 October","All Dwelling Statuses","D20: Dublin 20","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","230000"
"Mean Sale Price","2010 October","All Dwelling Statuses","D22: Dublin 22","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","216033"
"Mean Sale Price","2010 October","All Dwelling Statuses","D24: Dublin 24","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","261024"
"Mean Sale Price","2010 October","All Dwelling Statuses","D6W: Dublin 6W","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","364000"
"Mean Sale Price","2010 October","All Dwelling Statuses","E21: Cahir","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","100000"
"Mean Sale Price","2010 October","All Dwelling Statuses","E25: Cashel","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","170000"
"Mean Sale Price","2010 October","All Dwelling Statuses","E32: Carrick-on-Suir","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","165000"
"Mean Sale Price","2010 October","All Dwelling Statuses","E34: Tipperary","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","147625"
"Mean Sale Price","2010 October","All Dwelling Statuses","E41: Thurles","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","80000"
"Mean Sale Price","2010 October","All Dwelling Statuses","E45: Nenagh","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","162833"
"Mean Sale Price","2010 October","All Dwelling Statuses","E53: Roscrea","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","221948"
"Mean Sale Price","2010 October","All Dwelling Statuses","E91: Clonmel","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","152500"
