"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Mean Sale Price","2010 January","All Dwelling Statuses","E41: Thurles","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","213000"
"Mean Sale Price","2010 January","All Dwelling Statuses","E45: Nenagh","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","107000"
"Mean Sale Price","2010 January","All Dwelling Statuses","E53: Roscrea","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","205000"
"Mean Sale Price","2010 January","All Dwelling Statuses","E91: Clonmel","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","270910"
"Mean Sale Price","2010 January","All Dwelling Statuses","F12: Claremorris","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","262000"
"Mean Sale Price","2010 January","All Dwelling Statuses","F23: Castlebar","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","140000"
"Mean Sale Price","2010 January","All Dwelling Statuses","F26: Ballina","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","245000"
"Mean Sale Price","2010 January","All Dwelling Statuses","F28: Westport","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","F31: Ballinrobe","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","F35: Ballyhaunis","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","130000"
"Mean Sale Price","2010 January","All Dwelling Statuses","F42: Roscommon","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","168488"
"Mean Sale Price","2010 January","All Dwelling Statuses","F45: Castlerea","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","110000"
"Mean Sale Price","2010 January","All Dwelling Statuses","F52: Boyle","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","F56: Ballymote","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","173721"
"Mean Sale Price","2010 January","All Dwelling Statuses","F91: Sligo","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","170751"
"Mean Sale Price","2010 January","All Dwelling Statuses","F92: Letterkenny","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","223858"
"Mean Sale Price","2010 January","All Dwelling Statuses","F93: Lifford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","108750"
"Mean Sale Price","2010 January","All Dwelling Statuses","F94: Donegal","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","180000"
"Mean Sale Price","2010 January","All Dwelling Statuses","H12: Cavan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","137650"
"Mean Sale Price","2010 January","All Dwelling Statuses","H14: Belturbet","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","153225"
"Mean Sale Price","2010 January","All Dwelling Statuses","H16: Cootehill","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","H18: Monaghan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","H23: Clones","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","H53: Ballinasloe","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","183303"
"Mean Sale Price","2010 January","All Dwelling Statuses","H54: Tuam","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","214375"
"Mean Sale Price","2010 January","All Dwelling Statuses","H62: Loughrea","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","150000"
"Mean Sale Price","2010 January","All Dwelling Statuses","H65: Athenry","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","224163"
"Mean Sale Price","2010 January","All Dwelling Statuses","H71: Clifden","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","H91: Galway","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","251869"
"Mean Sale Price","2010 January","All Dwelling Statuses","K32: Balbriggan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","259813"
"Mean Sale Price","2010 January","All Dwelling Statuses","K34: Skerries","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","253211"
"Mean Sale Price","2010 January","All Dwelling Statuses","K36: Malahide","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","383438"
"Mean Sale Price","2010 January","All Dwelling Statuses","K45: Lusk","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
